source_no;sku;slug;status;name_ar;name_en;category;category_slug;subcategory;brand;model;country_of_origin;unit;quantity;price_sar;price_type;availability;warranty;short_description_ar;full_description_ar;dimensions;voltage;frequency;phase;power;capacity;temperature_range;productivity;material;stainless_grade;image_filename;datasheet_filename;possible_duplicate_of;inferred_fields;data_quality;data_quality_notes;additional_image_filenames;image_count
1;EW-QT-0001;croissant-dough-sheeter-0001;active;فرادة كرواسون;Croissant Dough Sheeter;معدات المخابز;bakery-equipment;فرادات العجين;Elite World;غير مذكور;غير مذكور;قطعة;1;;request_quote;غير محدد;غير مذكور;فرادة كرواسون 2 م من Elite world بهيكل من الفولاذ المقاوم للصدأ توضع فوق الأسطح;فرادة كرواسون 2 م من Elite world بهيكل من الفولاذ المقاوم للصدأ توضع فوق الأسطح;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0001.jpeg;EW-QT-0001.pdf;;sku, slug, name_en, category, subcategory;يحتاج مراجعة;بلد المنشأ غير مذكور؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
2;EW-QT-0002;croissant-dough-sheeter-0002;active;فرادة كرواسون;Croissant Dough Sheeter;معدات المخابز;bakery-equipment;فرادات العجين;Glead;غير مذكور;غير مذكور;قطعة;1;;request_quote;غير محدد;غير مذكور;فرادة كرواسون 2 م من glead بهيكل من الفايبر والفولاذ المقاوم للصدأ توضع على الارض بتحكم سفلي بالرجل وعلوي باليد;فرادة كرواسون 2 م من glead بهيكل من الفايبر والفولاذ المقاوم للصدأ توضع على الارض بتحكم سفلي بالرجل وعلوي باليد;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0002.jpeg;EW-QT-0002.pdf;;sku, slug, name_en, category, subcategory;يحتاج مراجعة;بلد المنشأ غير مذكور؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
3;EW-QT-0003;convection-oven-5-trays-0003;active;فرن كونفكشن 5 صواني;Convection Oven, 5 Trays;معدات المخابز;bakery-equipment;أفران الكونفكشن;Yearmay;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;فرن كونفكشن 5 صواني 60 x 40 هوائي من yearmay بهيكل من الفولاذ المقاوم للصدأ وتحكم بالمراوح وبخار مع ذاكرة تخزين 12 صنف ولوحة ديجتال made in china;فرن كونفكشن 5 صواني 60 x 40 هوائي من yearmay بهيكل من الفولاذ المقاوم للصدأ وتحكم بالمراوح وبخار مع ذاكرة تخزين 12 صنف ولوحة ديجتال made in china;60 x 40;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0003.png;EW-QT-0003.pdf;;sku, slug, name_en, category, subcategory;متوسط;رقم الموديل غير مذكور؛ السعر غير مذكور;;1
4;EW-QT-0004;convection-oven-10-trays-0004;active;فرن كونفكشن 10 صواني;Convection Oven, 10 Trays;معدات المخابز;bakery-equipment;أفران الكونفكشن;Yearmay;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;فرن كونفكشن 10 صواني 60 x 40 هوائي من yearmay بهيكل من الفولاذ المقاوم للصدأ وتحكم بالمراوح وبخار مع ذاكرة تخزين 12 صنف ولوحة ديجتال made in china;فرن كونفكشن 10 صواني 60 x 40 هوائي من yearmay بهيكل من الفولاذ المقاوم للصدأ وتحكم بالمراوح وبخار مع ذاكرة تخزين 12 صنف ولوحة ديجتال made in china;60 x 40;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0004.png;EW-QT-0004.pdf;;sku, slug, name_en, category, subcategory;متوسط;رقم الموديل غير مذكور؛ السعر غير مذكور;;1
5;EW-QT-0005;vertical-contact-toaster-vct-2000-0005;active;توستر تلامس رأسي;Vertical Contact Toaster vct-2000;معدات الطبخ;cooking-equipment;المحامص;Antunes / Roundup;vct-2000;الولايات المتحدة;قطعة;1;;request_quote;غير محدد;غير مذكور;تويستر امريكي راوند اب مع رول كهربائي لوضع الزبدة Raundup vct-2000 220-240v 3593 w Made in USA;تويستر امريكي راوند اب مع رول كهربائي لوضع الزبدة Raundup vct-2000 220-240v 3593 w Made in USA;غير مذكور;220-240v;غير مذكور;غير مذكور;3593 w;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;EW-QT-0005.jpeg;EW-QT-0005.pdf;;sku, slug, name_en, category, subcategory;يحتاج مراجعة;السعر غير مذكور؛ توجد أبعاد Placeholder في المصدر وتحتاج استبدال;;1
6;EW-QT-0006;commercial-blender-2-5-l-0006;active;خلاط عصير تجاري 2.5 لتر;Commercial Blender, 2.5 L;معدات الكافيهات;cafe-equipment;الخلاطات;Osan;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;خلاط عصير 2.5 لتر 220-240v 1680w مع كاتم صوت osan Made in p.r.c;خلاط عصير 2.5 لتر 220-240v 1680w مع كاتم صوت osan Made in p.r.c;غير مذكور;220-240v;غير مذكور;غير مذكور;1680w;2.5 لتر;غير مذكور;غير مذكور;غير مذكور;غير مذكور;EW-QT-0006.jpeg;EW-QT-0006.pdf;;sku, slug, name_en, category, subcategory;متوسط;رقم الموديل غير مذكور؛ السعر غير مذكور;;1
7;EW-QT-0007;commercial-blender-2-5-l-0007;active;خلاط عصير تجاري 2.5 لتر;Commercial Blender, 2.5 L;معدات الكافيهات;cafe-equipment;الخلاطات;Osan;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;خلاط عصير 2.5 لتر 220-240v 1680w osan Made in p.r.c;خلاط عصير 2.5 لتر 220-240v 1680w osan Made in p.r.c;غير مذكور;220-240v;غير مذكور;غير مذكور;1680w;2.5 لتر;غير مذكور;غير مذكور;غير مذكور;غير مذكور;EW-QT-0007.jpeg;EW-QT-0007.pdf;;sku, slug, name_en, category, subcategory;متوسط;رقم الموديل غير مذكور؛ السعر غير مذكور;;1
8;EW-QT-0008;commercial-electric-range-2-burner-0008;active;موقد كهربائي تجاري 2 شعلة;Commercial Electric Range, 2 Burner;معدات الطبخ;cooking-equipment;المواقد;De'Longhi;غير مذكور;إيطاليا;قطعة;1;;request_quote;غير محدد;غير مذكور;موقد كهربائي 2 عين من Delonghi 220-240v 3000w Made in Italy;موقد كهربائي 2 عين من Delonghi 220-240v 3000w Made in Italy;غير مذكور;220-240v;غير مذكور;غير مذكور;3000w;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;EW-QT-0008.png;EW-QT-0008.pdf;;sku, slug, name_en, category, subcategory;يحتاج مراجعة;رقم الموديل غير مذكور؛ السعر غير مذكور؛ توجد أبعاد Placeholder في المصدر وتحتاج استبدال;;1
9;EW-QT-0009;commercial-gas-range-4-burner-0009;active;موقد غاز تجاري 4 شعلة;Commercial Gas Range, 4 Burner;معدات الطبخ;cooking-equipment;المواقد;Elite World;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;موقد غاز 4 عين من Elite world تعمل الشعل بالغاز مع فرن سفلي يعمل بالكهرباء 220V Made in china;موقد غاز 4 عين من Elite world تعمل الشعل بالغاز مع فرن سفلي يعمل بالكهرباء 220V Made in china;غير مذكور;220V;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;EW-QT-0009.jpeg;EW-QT-0009.pdf;;sku, slug, name_en, category, subcategory;متوسط;رقم الموديل غير مذكور؛ السعر غير مذكور;;1
10;EW-QT-0010;commercial-electric-fryer-11-l-1-burner-0010;active;قلاية كهربائية 11 لتر - 1 شعلة;Commercial Electric Fryer, 11 L, 1 Burner;معدات الطبخ;cooking-equipment;القلايات;Elite World;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;قلاية كهربائية 1 عين من Elite world 11 L - 380V Made in china;قلاية كهربائية 1 عين من Elite world 11 L - 380V Made in china;غير مذكور;380V;غير مذكور;غير مذكور;غير مذكور;11 L;غير مذكور;غير مذكور;غير مذكور;غير مذكور;EW-QT-0010.jpeg;EW-QT-0010.pdf;;sku, slug, name_en, category, subcategory;متوسط;رقم الموديل غير مذكور؛ السعر غير مذكور;;1
